"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","737","Juan Jose AMAYA VAHOS","15","Infantil","Yamaha","Huila","CLUB MOTO JAPONESA","","52.830","10",""
"2","123","Samuel David HERNANDEZ MONTES","13","Infantil","AKT","Cesar","CLUB KALIMA RACING","0.536","52.715","10",""
"3","604","Samuel VARGAS OME","11","Infantil","TVS","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","13.640","53.807","10",""
"4","725","JOAQUIN ANDRES IBARRA PARRA","10","Infantil","Yamaha","Huila","CLUB MOTO JAPONESA","35.030","55.448","10",""
"5","662","Carlos Ivan RIVERA BURBANO","9","Infantil","TVS","Nariño","CLUB JOSMARC MOTOS RACING","37.946","56.046","10",""
"6","450","Derian Andres ROZO CASTIBLANCO","8","Infantil","Yamaha","Cundinamarca","LISTO PILOTO","45.745","55.926","10",""
"7","961-E","Isaac Daniel Velasquez Salazar","7","Infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:00.177","9",""
"NT","307","Juan Jose JIMENEZ HIDALGO","0","Infantil","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","NT","58.017","3",""
