"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","737","Juan Jose AMAYA VAHOS","Infantil","Huila","CLUB MOTO JAPONESA","Yamaha","52.928","6","","",""
"2","123","Samuel David HERNANDEZ MONTES","Infantil","Cesar","CLUB KALIMA RACING","AKT","53.321","4","0.393","0.393",""
"3","604","Samuel VARGAS OME","Infantil","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","TVS","53.753","8","0.825","0.432",""
"4","662","Carlos Ivan RIVERA BURBANO","Infantil","Nariño","CLUB JOSMARC MOTOS RACING","TVS","55.486","4","2.558","1.733",""
"5","725","JOAQUIN ANDRES IBARRA PARRA","Infantil","Huila","CLUB MOTO JAPONESA","Yamaha","56.110","6","3.182","0.624",""
"6","450","Derian Andres ROZO CASTIBLANCO","Infantil","Cundinamarca","LISTO PILOTO","Yamaha","56.983","4","4.055","0.873",""
"7","307","Juan Jose JIMENEZ HIDALGO","Infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","57.631","2","4.703","0.648",""
"8","961-2026-04-18","Isaac Daniel Velasquez Salazar","Infantil","Nariño","CLUB DEPORTIVO BUFALO XTREM","TVS","1:01.363","4","8.435","3.732",""
