"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","222","Maximiliano RAMIREZ RESTREPO","85 cc Junior","30","0","Yamaha","Antioquia","STUNT FIVE","","2","13","15"
"2","120","Matias GOMEZ ORJUELA","85 cc Junior","24","6","KTM","Bogotá D.C.","Todo terreno track","","1","10","13"
"3","113","Tomas VERGARA ARANZAZU","85 cc Junior","22","8","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","11","10"
"4","301","Sebastian SANDOVAL VERGARA","85 cc Junior","19","11","KTM","Bogotá D.C.","Xspeed Racing","","1","9","9"
"5","111","Martin OSPINA CUELLO","85 cc Junior","18","12","Yamaha","Bogotá D.C.","Xspeed Racing","","3","15","0"
"6","762","Oscar Alejandro VALBUENA ECHEVERRI","85 cc Junior","17","13","GasGas","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","","1","8","8"
"7","331","Juan Pablo CARMONA GIRALDO","85 cc Junior","12","18","GasGas","Bogotá D.C.","Todo terreno track","","1","0","11"
