"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","141","Isabela VILLEGAS BRAND","Femenina A","31","0","Yamaha","Valle del Cauca","Team Potenza","","3","13","15"
"2","555","Luciana MORENO SALCEDO","Femenina A","30","1","Yamaha","Bogotá D.C.","Xspeed Racing","","2","15","13"
"3","834","Valery Fernanda ARIAS ARCOS","Femenina A","23","8","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","","1","11","11"
