"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","53","Simón RESTREPO GUZMAN","Mx pre-expertos","33","0","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","","3","15","15"
"2","213","Jhon Alexander PICON BOLAÑOS","Mx pre-expertos","28","5","KTM","Cesar","VIRUS RACING","","2","13","13"
"3","811","SEBASTIAN LOPEZ MONCAYO","Mx pre-expertos","23","10","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","","1","11","11"
"4","29","Jeronimo PIEDRAHITA HINCAPIE","Mx pre-expertos","21","12","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","1","10","10"
"5","454","Mateo ALVAREZ GONZALEZ","Mx pre-expertos","19","14","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","9","9"
