"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","607","Milan ORTIZ DUQUE","50 cc","33","0","Cobra","Bogotá D.C.","Racing pilots Academy","","3","15","15"
"2","206","Juan Martin HOYOS VASQUEZ","50 cc","28","5","Yamaha","Antioquia","STUNT FIVE","","2","13","13"
"3","133","Jorge Mario OCAMPO MEJIA","50 cc","23","10","Cobra","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","11","11"
"4","317","Elias YEPES ZAMORANO","50 cc","20","13","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","9","10"
"5","101","Martín Silva OROZCO","50 cc","18","15","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","1","10","7"
"6","13","Valery DIAZ VELASQUEZ","50 cc","17","16","Cobra","Bogotá D.C.","Todo terreno track","","1","7","9"
"7","348","Diego Alejandro reyes Ramírez","50 cc","15","18","Husqvarna","Bogotá D.C.","Todo terreno track","","1","6","8"
"8","499","Jared PEREZ CASTILLO","50 cc","15","18","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","8","6"
