"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike infantil","15","","1:02.719","Yamaha","Quindío","CLUB MONSTER GARAGE","8",""
"2","16","Dylan Santiago RODRIGUEZ CUELLAR","Pit bike infantil","13","3.240","1:04.076","Yamaha","Quindío","CLUB MONSTER GARAGE","8",""
"3","604","Samuel VARGAS OME","Pit bike infantil","11","6.946","1:04.324","Bajaj","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","8",""
"4","737","Juan Jose AMAYA VAHOS","Pit bike infantil","10","29.799","1:05.413","Yamaha","Huila","CLUB MOTO JAPONESA","8",""
"5","226","JOSEPH RAMIREZ VALENCIA","Pit bike infantil","9","1 Vuelta","1:16.018","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","7",""
"NT","267","Andres Esteban HIGUITA CARRILLO","Pit bike infantil","0","NT","1:08.314","Yamaha","Quindío","CLUB MONSTER GARAGE","7",""
"NT","450","Derian Andres ROZO CASTIBLANCO","Pit bike infantil","0","NT","1:08.551","Yamaha","Cundinamarca","Club Velocidad Bogotá","7",""
"NT","395","","Pit bike infantil","0","NT","1:09.111","","","","1",""
"NT","181","Juan David Melo Bastidas","Pit bike infantil","0","NT","1:09.287","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","1",""
