"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","737","Juan Jose AMAYA VAHOS","Infantil","15","","1:04.689","Yamaha","Huila","CLUB MOTO JAPONESA","8",""
"2","123","Samuel David HERNANDEZ MONTES","Infantil","13","0.298","1:04.682","AKT","Cesar","CLUB KALIMA RACING","8",""
"3","395","Andres David Madroñero Alvear","Infantil","11","6.114","1:05.006","Bajaj","Nariño","CLUB MOTEROS LA UNION RIDERS","8",""
"4","307","Juan Jose JIMENEZ HIDALGO","Infantil","10","23.976","1:07.111","Bajaj","Nariño","CLUB BUFALO XTREM PARK","8",""
"5","168","Jeiccob David CARDOZO VERA","Infantil","9","46.333","1:08.796","Yamaha","Tolima","CLUB PISTON RACING","8",""
"NT","725","JOAQUIN ANDRES IBARRA PARRA","Infantil","0","NT","1:07.151","Yamaha","Huila","CLUB MOTO JAPONESA","7",""
"NT","604","Samuel VARGAS OME","Infantil","0","NT","1:03.915","Bajaj","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","3",""
