"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","114","GIOVANY ANDRES ARTEAGA MONCAYO","AX 100 Inicio","15","","1:04.327","Suzuki","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","8",""
"2","239","Esteban DORADO SOLARTE","AX 100 Inicio","13","10.369","1:05.942","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","8",""
"3","388","","AX 100 Inicio","11","18.478","1:05.539","","","","8",""
"4","242","Benjamín Mayoral Toledo","AX 100 Inicio","10","21.620","1:07.268","Suzuki","Putumayo","TEAM RACING MOCOA","8",""
"5","732","FREDDY SANTIAGO MAYA OTAYA","AX 100 Inicio","9","50.970","1:09.297","Suzuki","Nariño","CLUB BUFALO XTREM PARK","8",""
"NT","77","David Esteban CALVACHE","AX 100 Inicio","0","NT","1:04.564","","Nariño","CLUB JOSMARC MOTOS RACING","6",""
