"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","307","Juan Jose JIMENEZ HIDALGO","50 cc","15","","1:07.528","Bajaj","Nariño","CLUB BUFALO XTREM PARK","7",""
"2","662","Carlos Ivan RIVERA BURBANO","50 cc","13","5.939","1:09.154","Bajaj","Nariño","CLUB JOSMARC MOTOS RACING","7",""
"3","673","JUAN ESTEBAN ESCOBAR GONZALEZ","50 cc","11","25.172","1:11.341","Yamaha","Quindío","CLUB MONSTER GARAGE","7",""
"4","481","EMMANUEL DIAZ RUIZ","50 cc","10","34.712","1:13.208","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7",""
"5","E-727","JEAN PAUL RUIZ","50 cc","9","1 Vuelta","1:24.516","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","6",""
"6","783","Isabella Diaz botero","50 cc","8","1 Vuelta","1:25.271","Yamaha","Quindío","CLUB MONSTER GARAGE","6",""
"NT","E-170","Samuel Andres  Diez Marmolejo","50 cc","0","NT","1:24.179","Unite Motor","Valle del Cauca","Dos Ruedas Racing Team","4",""
"NT","E-303","JUAN JOSÉ TOVAR MONTILLA","50 cc","0","NT","1:12.903","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2",""
