"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","243","David Fernando BURBANO GOMEZ","Supermoto","15","","1:06.709","Husqvarna","Putumayo","TEAM RACING MOCOA","9",""
"2","98","Mateo CASTELLANOS CARVAJAL","Supermoto","13","15.641","1:06.999","KTM","Caldas","CLUB JHC RACING","9",""
"3","227","Rigo German SALAZAR CERON","Supermoto","11","28.571","1:07.277","Yamaha","Quindío","CLUB MONSTER GARAGE","9",""
"4","207","David Alejandro FORERO ZAPATA","Supermoto","10","32.821","1:11.096","Husqvarna","Putumayo","TEAM RACING MOCOA","9",""
"5","68","Alvaro Javier PEREZ BERNAL","Supermoto","9","1 Vuelta","1:16.043","KTM","QUNDÍO","CLUB DISCOVER QUINDIO","8",""
"6","27","Lisandro VASQUEZ RAMIREZ","Supermoto","8","1 Vuelta","1:16.112","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","8",""
"NT","144","JOHN ANDRES VIVAS VARON","Supermoto","0","NT","","Husqvarna","Valle del Cauca","Dos Ruedas Racing Team","",""
