"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","961","Isaac Daniel Velasquez Salazar","15","50 cc","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","","1:01.569","9",""
"2","305-E","JUAN JOSÉ TOVAR MONTILLA","13","50 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","44.391","1:05.215","9",""
"3","784","Isabella Diaz botero","11","50 cc","Yamaha","Quindío","CLUB MONSTER GARAGE","1 Vuelta","1:07.142","8",""
"4","735-E","JEAN PAUL RUIZ","10","50 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","1:08.925","8",""
"5","481","EMMANUEL DIAZ RUIZ","9","50 cc","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2 Vueltas","58.410","7",""
"EX","662","Carlos Ivan RIVERA BURBANO","0","50 cc","TVS","Nariño","CLUB JOSMARC MOTOS RACING","EX","55.267","9","AYUDA EXT."
"EX","307","Juan Jose JIMENEZ HIDALGO","0","50 cc","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","EX","55.297","9","AYUDA EXT."
