"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","15","115 cc Infantil","Yamaha","Quindío","CLUB MONSTER GARAGE","","51.393","10",""
"2","312","Eder Sebastian JARAMILLO YARA","13","115 cc Infantil","Yamaha","Tolima","CLUB PISTON RACING","3.577","51.925","10",""
"3","737","Juan Jose AMAYA VAHOS","11","115 cc Infantil","Yamaha","Huila","CLUB MOTO JAPONESA","32.923","54.219","10",""
"4","450","Derian Andres ROZO CASTIBLANCO","10","115 cc Infantil","Yamaha","Cundinamarca","LISTO PILOTO","37.354","54.231","10",""
"5","604","Samuel VARGAS OME","9","115 cc Infantil","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","48.338","54.730","10",""
