"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","139","Valentino ZULETA CARDONA","65 cc","33","0","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","3","15","15"
"2","35","Juan Angel MORALES GALLEGO","65 cc","25","8","Yamaha","Antioquia","CLUB GRILLOS RACING","","2","13","10"
"3","888","Maximiliano YEPES ZAMORANO","65 cc","24","9","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","10","13"
"4","121","Martin LONDOÑO VARGAS","65 cc","23","10","Cobra","Bogotá D.C.","Xspeed Racing","","1","11","11"
"5","916","Oskar David VERGARA ARIZA","65 cc","19","14","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","","1","9","9"
"6","998","Jeronimo pulgarin cardona","65 cc","17","16","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","8","8"
"7","215","Sebastian LOPEZ CORTES","65 cc","8","25","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","","1","7","0"
"8","12","Lucas VALENCIA MEJIA","65 cc","1","32","Kymco","Bogotá D.C.","Racing pilots Academy","","1","0","0"
