"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","919","David CHACON GUZMAN","Mx pro","33","0","Honda","Bogotá D.C.","Todo terreno track","","3","15","15"
"2","66","Miguel Angel ROJAS ALBA","Mx pro","26","7","KTM","Bogotá D.C.","Racing pilots Academy","","2","11","13"
"3","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx pro","25","8","Honda","Putumayo","TEAM RACING MOCOA","","1","13","11"
"4","235","Paco TORRES CASTAÑEDA","Mx pro","20","13","Yamaha","Bogotá D.C.","Xspeed Racing","","1","10","9"
"5","54","Thomas ZULUAGA GIRALDO","Mx pro","11","22","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","0","10"
"6","107","Miguel Angel FLOREZ VALENCIA","Mx pro","10","23","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","9","0"
"NT","221","Peter FRISH KLEVER","Mx pro","0","33","GasGas","Cesar","VIRUS RACING","","0","0","0"
