"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","E-98","salome henao torres","Femenina B","31","0","Yamaha","Antioquia","CLUB GRILLOS RACING","","3","13","15"
"2","712","Luz estella Lara Bohórquez","Femenina B","30","1","KTM","Cesar","VIRUS RACING","","2","15","13"
