"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","66","Miguel Angel ROJAS ALBA","Mx 2","33","0","KTM","Bogotá D.C.","Racing pilots Academy","","3","15","15"
"2","54","Thomas ZULUAGA GIRALDO","Mx 2","27","6","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","13","13"
"3","627","JERONIMO ROMAN VELASQUEZ","Mx 2","22","11","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","11","10"
"4","211","Yeison Alexander QUIÑONES RICO","Mx 2","20","13","Honda","Santander","CLUB MOTO FULL RACING TEAM","","1","10","9"
"5","710","Juan David MENDOZA DUARTE","Mx 2","17","16","KTM","Meta","VILLAVICENCIO RACING CLUB","","1","8","8"
"6","107","Miguel Angel FLOREZ VALENCIA","Mx 2","17","16","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","9","7"
"7","777","Euclides Antonio TORRES ROSALES","Mx 2","13","20","KTM","Bogotá D.C.","Xspeed Racing","","2","0","11"
"8","141","Isabella Villegas","","1","32","","","","","1","0","0"
"NT","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","0","33","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","0","0","0"
