"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","517","Lyam Andres RIOS QUINTERO","Mini bike 190","Cesar","K-LIMA RACING","Yamaha","1:04.078","7","","",""
"2","214","Gabriel Alejandro VALDIVIESO FLOREZ","Mini bike 190","Bogotá D.C.","Racing pilots Academy","GasGas","1:04.623","7","0.545","0.545",""
"3","590","Giovanni Andres AREVALO SALCEDO","Mini bike 190","Bogotá D.C.","Todo terreno track","Ducati","1:06.032","6","1.954","1.409",""
"4","76","Santiago Jimenez Mejia","Mini bike 190","Costa Rica","CLUB ANTIOQUIA 2 RUEDAS RACER","Husqvarna","1:06.746","2","2.668","0.714",""
"5","424","Juan Manuel FORERO BANDERA","Mini bike 190","Tolima","CLUB PISTON RACING","Yamaha","1:07.008","3","2.930","0.262",""
"6","518","Alan Javier RIOS QUINTERO","Mini bike 190","Cesar","K-LIMA RACING","Yamaha","1:07.922","3","3.844","0.914",""
"7","312","Eder Sebastian JARAMILLO YARA","Mini bike 190","Tolima","CLUB PISTON RACING","KTM","1:08.229","4","4.151","0.307",""
"8","558","fabian yesid sanabria zea","Mini bike 190","Bogotá D.C.","Racing pilots Academy","Beta","1:09.647","7","5.569","1.418",""
