"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","527","David Alejandro franco Orozco","15","Cuatrimotard (II + III GP)","","1:07.702","","Antioquia","STUNT FIVE","6"
"2","468","Christian CAJICA","13","Cuatrimotard (II + III GP)","0.545","1:07.547","","Bogotá D.C.","Racing pilots Academy","6"
"3","437","Julián Enrique González Alfonso","11","Cuatrimotard (II + III GP)","32.719","1:12.833","","Antioquia","CLUB MOTOCROSS YARUMAL","6"
"4","778","JHONATAN STEVENS IDAGARRA LOPEZ","10","Cuatrimotard (II + III GP)","34.002","1:12.309","","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","6"
"5","192","Juan Sebastian Medina acevedo","9","Cuatrimotard (II + III GP)","48.065","1:14.431","","Antioquia","CLUB MOTOCROSS DE YARUMAL","6"
"6","143","Jorge enrique espinosa romero","8","Cuatrimotard (II + III GP)","1:03.988","1:12.348","","Bogotá D.C.","Racing pilots Academy","6"
"7","575","Carlos Enrique González Mora","7","Cuatrimotard (II + III GP)","1 Vuelta","1:26.476","","Antioquia","CLUB MOTOCROSS YARUMAL","5"
