"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","453","Alexander MARIN YEPES","15","150 cc Inicio","","1:07.805","","Quindío","CLUB RUTEROS DEL QUINDIO","8"
"2","680","Juan Esteban RIVERA MARIN","13","150 cc Inicio","0.067","1:07.974","","Santander","CLUB FLORIDA EXTREMO","8"
"3","703-E","Jean Carlos aranda González","11","150 cc Inicio","2.111","1:08.120","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"4","928","Luis Carlos POLANCO GAMBOA","10","150 cc Inicio","11.955","1:08.794","","Huila","CLUB MOTO JAPONESA","8"
"5","480","DAVID SANTIAGO QUEZADA SOTO","9","150 cc Inicio","12.313","1:08.854","","Quindío","CLUB MONSTER GARAGE","8"
"6","894","Educardo RIOJAS MORENO","8","150 cc Inicio","13.887","1:09.241","","Tolima","CLUB PISTON RACING","8"
"7","755","Didier Esneider ALBORNOZ IBARG","7","150 cc Inicio","14.309","1:09.568","","QUINDIO","CLUB MONSTER GARAGE","8"
"8","157","Sebastian Fabricio ROMERO TRUJILLO","6","150 cc Inicio","14.359","1:09.360","","Cundinamarca","CLUB GIRARDOT RACING","8"
"9","364","Manuel Alejandro MARIN TOVAR","5","150 cc Inicio","15.312","1:08.959","","Meta","CLUB LLANEROS RANCING","8"
"10","657","Diego Alexander Gómez Leal","4","150 cc Inicio","16.267","1:07.837","","Cesar","CLUB KALIMA RACING","8"
"11","325","Brayan Sneider GUTIERREZ CASTAÑEDA","3","150 cc Inicio","22.852","1:09.970","","Cesar","K-LIMA RACING","8"
"12","648","José Manuel Tapasco","2","150 cc Inicio","23.255","1:09.289","","Caldas","CLUB JHC RACING","8"
"13","254","David Estiber Echeverria Almeida","1","150 cc Inicio","23.265","1:10.074","","Cesar","K-LIMA RACING","8"
"14","732","FREDDY SANTIAGO MAYA OTAYA","1","150 cc Inicio","41.232","1:11.455","","Nariño","CLUB DEPORTIVO BUFALO XTREM","8"
"15","786","johan daniel barajas barrios","1","150 cc Inicio","1:00.002","1:15.243","","Cesar","K-LIMA RACING","8"
"16","634","Jhonatan stiven Navas Navas","0","150 cc Inicio","1:05.290","1:15.315","","Tolima","CLUB PISTON RACING","8"
"NT","153","Jonathan Andres SORZA HERNANDEZ","0","150 cc Inicio","NT","1:11.863","","Cundinamarca","MOTO CLUB MRACING LA VEGA","7"
"NT","631","Johan GOMEZ PEREZ","0","150 cc Inicio","NT","1:09.455","","Quindío","CLUB RUTEROS DEL QUINDIO","5"
"NT","115","William PEÑA CARDONA","0","150 cc Inicio","NT","1:12.461","","Antioquia","CLUB GRILLOS RACING","4"
"NT","754","Humberto MORENO DIAZ","0","150 cc Inicio","NT","1:07.822","","Cesar","CLUB KALIMA RACING","3"
"NT","705","Daniel Fernando Ruiz Garcia","0","150 cc Inicio","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","148","OSCAR ADRIAN SUTA MONTAÑEZ","0","150 cc Inicio","NT","","","Meta","SUTA RACING CLUB",""
"NT","428","DANIEL QUINTANA CASTRO","0","150 cc Inicio","NT","","","Quindío","CLUB RUTEROS DEL QUINDIO",""
"NT","31","Jhan GOMEZ SERRANO","0","150 cc Inicio","NT","","","Cesar","VIRUS RACING",""
"NT","724","David Andres RAMIREZ","0","150 cc Inicio","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","72","JOAN SEBASTIAN CASTILLO URREA","0","150 cc Inicio","NT","","","Valle del Cauca","MOTOCLUB TRAVESURAS",""
"NT","755","Didier Esneider ALBORNOZ IBARGUEN","0","150 cc Inicio","NT","","","Quindío","CLUB MONSTER GARAGE",""
"EX","842","Alexander DUQUE PATIÑO","0","150 cc Inicio","EX","1:06.526","","Meta","VILLAVICENCIO RACING CLUB","8"
