"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","139","Valentino ZULETA CARDONA","65 cc","1:30.472","0","3","15","15"
"2","888","Maximiliano YEPES ZAMORANO","65 cc","1:31.378","5","2","13","13"
"3","916","Oskar David VERGARA ARIZA","65 cc","1:37.108","11","1","10","11"
"4","716","Thomas Andres MAHECHA CARRILLO","65 cc","1:34.729","13","1","9","10"
"5","35","Juan Angel MORALES GALLEGO","65 cc","1:17.113","14","1","11","7"
"6","206","Juan Martin HOYOS VASQUEZ","65 cc","1:50.538","16","1","8","8"
"7","232","thiago martinez mogollon","65 cc","1:58.204","19","1","7","6"
"8","215","Sebastian LOPEZ CORTES","65 cc","1:44.758","23","1","0","9"
