"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","36","Jhon Jairo PINEDA VELASQUEZ","Mx Master","1:20.088","0","3","15","15"
"2","71-E","Martin velez trujillo","Mx Master","1:20.850","7","2","11","13"
"3","235","Paco TORRES CASTAÑEDA","Mx Master","1:20.581","8","1","13","11"
"4","79","Ricardo RESTREPO URIBE","Mx Master","1:25.233","12","1","10","10"
"5","335","JOSE LUIS IBARRA VALLEJO","Mx Master","1:25.782","14","1","9","9"
"6","214","Damian Monroy Valencia","Mx Master","1:31.101","16","1","8","8"
"7","84-E","Felipe BARDAWIL ECHEVERRI","Mx Master","1:30.757","25","1","7","0"
"8","523","Richard Alexander ALARCON ALVAREZ","Mx Master","1:40.443","26","0","--","7"
