"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","312","Eder Sebastian JARAMILLO YARA","15","115 cc Infantil","Yamaha","Tolima","CLUB PISTON RACING","","52.328","10",""
"2","395","Andres David Madroñero Alvear","13","115 cc Infantil","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","24.624","54.951","10",""
"3","181","Juan David Melo Bastidas","11","115 cc Infantil","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","24.894","54.971","10",""
"4","255","Juan Sebastian WONG RODRÍGUEZ","10","115 cc Infantil","Yamaha","Quindío","CLUB MONSTER GARAGE","44.782","53.459","10",""
"5","267","Andres Esteban HIGUITA CARRILLO","9","115 cc Infantil","Yamaha","Quindío","CLUB MONSTER GARAGE","1 Vuelta","57.838","9",""
