"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","141","Isabela VILLEGAS BRAND","Femenina A","Valle del Cauca - DEPARTAMENTAL","15","Yamaha","Team Potenza","","1:39.068","11","","18:40.096"
"2","555","Luciana MORENO SALCEDO","Femenina A","Bogotá D.C.","13","Yamaha","Xspeed Racing","50.270","1:38.855","11","","19:30.366"
"3","828","Karol Melisa VARGAS CARVAJAL","Femenina A","Antioquia","11","LGP Mobility","CLUB MOTOCROSS YARUMAL","59.090","1:45.168","11","","19:39.186"
"4","834","Valery Fernanda ARIAS ARCOS","Femenina A","Cauca","10","Yamaha","CLUB CORONA CLUB XTREME PARK","1:05.193","1:47.350","11","","19:45.289"
"5","727","Alexandra NARVAEZ OLAYA","Femenina A","Risaralda","9","Honda","CLUB LOS GUEPARDOS","1:23.361","1:46.562","11","","20:03.457"
