"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","888","Maximiliano YEPES ZAMORANO","65 CC","Antioquia","3","Yamaha","CLUB GRILLOS RACING","","1:35.564","7","","10:49.170"
"2","139","Valentino ZULETA CARDONA","65 CC","Antioquia","2","KTM","CLUB ANTIOQUIA 2 RUEDAS RACER","15.149","1:36.511","7","","11:04.319"
"3","35","Juan Angel MORALES GALLEGO","65 CC","Antioquia","1","Yamaha","CLUB GRILLOS RACING","1:17.405","1:42.511","7","","12:06.575"
"4","716","Thomas Andres MAHECHA CARRILLO","65 CC","Bogotá D.C.","1","Yamaha","Racing pilots Academy","1 Vuelta","1:55.512","6","","11:08.652"
"5","215","Sebastian LOPEZ CORTES","65 CC","Nariño","1","KTM","CLUB DEPORTIVO BUFALO XTREM","3 Vueltas","2:05.443","4","","11:17.059"
"NE","999","Jeronimo pulgarin cardona","65 CC","Antioquia","0","Yamaha","CLUB MOTOCROSS DE YARUMAL","NE","","","",""
