"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","75","Juan Pablo Cardona Carvajal","INICIO","1:31.119","0","0","15","15"
"2","821","John Fredy Hernández Osorio","INICIO","1:32.560","3","1","13","13"
"3","287","JOSE ANDRES SILVA SIMANCA","INICIO","1:36.823","8","2","9","11"
"4","97","Juan Camilo Restrepo Ospina","INICIO","1:36.404","10","1","10","9"
"5","61","Luis Fernando LOPEZ","INICIO","1:52.292","10","1","11","8"
"6","58","Diego Ignacio ROJAS ROSERO","INICIO","1:45.789","13","1","6","10"
"7","750","FREDDY ANDRES HOLGUIN LOAIZA","INICIO","1:52.927","14","1","8","7"
"8","92-E","Jhon wilmar Quirama Arredondo","INICIO","1:56.741","23","0","7","0"
"9","89","Luis Felipe PALOMINO MEJIA","INICIO","1:33.390","27","3","0","0"
