"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","36","Jhon Jairo PINEDA VELASQUEZ","MX MASTER","Caldas","3","Honda","CLUB DE MOTOCICLISMO JP36","","1:28.340","7","","10:36.805"
"2","214","Damian Monroy Valencia","MX MASTER","Antioquia","2","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","43.303","1:34.406","7","","11:20.108"
"3","523","Richard Alexander ALARCON ALVAREZ","MX MASTER","Putumayo","1","Kawasaki","CLUB EXTREME RACING","1 Vuelta","1:55.285","6","","11:22.643"
"4","778","Fredy Alberto Holguin Farfan","MX MASTER","Meta","1","Yamaha","CLUB DE MOTOCICLISMO SANTIHC 146","1 Vuelta","1:59.441","6","","12:46.404"
"5","11","German Dario TREJO COLLAZOS","MX MASTER","Nariño","1","Yamaha","CLUB JOSMARC MOTOS RACING","2 Vueltas","1:42.061","5","","10:44.093"
"NT","79","Ricardo RESTREPO URIBE","MX MASTER","Antioquia","0","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","1:28.192","4","","5:47.839"
"NT","311","Henry MORENO BENAVIDES","MX MASTER","Nariño","0","KTM","CLUB MOTEROS RIDERS LA UNION","NT","1:36.018","4","","8:43.996"
