"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","206","Juan Martin HOYOS VASQUEZ","50 CC","Antioquia","3","Yamaha","STUNT FIVE","","1:51.607","6","","10:40.443"
"2","716","Thomas Andres MAHECHA CARRILLO","50 CC","Bogotá D.C.","2","Cobra","Racing pilots Academy","1.579","1:52.356","6","","10:42.022"
"3","133","Jorge Mario OCAMPO MEJIA","50 CC","Antioquia","2","Cobra","CLUB ANTIOQUIA 2 RUEDAS RACER","28.542","1:57.969","6","","11:08.985"
"4","910","Sebastian LOPEZ MUÑOZ","50 CC","Antioquia","1","KTM","CLUB ANTIOQUIA 2 RUEDAS RACER","32.007","1:57.801","6","","11:12.450"
"5","317","Elias YEPES ZAMORANO","50 CC","Antioquia","1","Yamaha","CLUB GRILLOS RACING","1:01.787","1:58.156","6","","11:42.230"
"6","13","Valery DIAZ VELASQUEZ","50 CC","Bogotá D.C.","1","Cobra","Todo terreno track","1 Vuelta","2:23.288","5","","11:13.857"
