"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","36","Jhon Jairo PINEDA VELASQUEZ","MX MASTER","1:28.340","0","3","15","15"
"2","79","Ricardo RESTREPO URIBE","MX MASTER","1:33.694","7","0","13","13"
"3","214","Damian Monroy Valencia","MX MASTER","1:34.406","9","2","11","11"
"4","11","German Dario TREJO COLLAZOS","MX MASTER","1:41.403","12","1","10","10"
"5","778","Fredy Alberto Holguin Farfan","MX MASTER","1:59.441","15","1","8","9"
"6","311","Henry MORENO BENAVIDES","MX MASTER","2:35.364","18","0","7","8"
"7","523","Richard Alexander ALARCON ALVAREZ","MX MASTER","1:54.355","23","1","9","0"
