"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","206","Juan Martin HOYOS VASQUEZ","50 CC","1:51.607","0","3","15","15"
"2","716","Thomas Andres MAHECHA CARRILLO","50 CC","1:52.356","5","2","13","13"
"3","133","Jorge Mario OCAMPO MEJIA","50 CC","1:54.869","9","2","11","11"
"4","910","Sebastian LOPEZ MUÑOZ","50 CC","1:57.312","12","1","10","10"
"5","317","Elias YEPES ZAMORANO","50 CC","1:57.522","14","1","9","9"
"6","13","Valery DIAZ VELASQUEZ","50 CC","2:23.105","16","1","8","8"
