"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 CC MINI","1:28.242","0","3","15","15"
"2","120","Matias GOMEZ ORJUELA","85 CC MINI","1:30.684","6","1","13","13"
"3","139","Valentino ZULETA CARDONA","85 CC MINI","1:30.160","9","2","11","11"
"4","626","Juan Antonio PIEDRAHITA VARELA","85 CC MINI","1:30.679","12","1","10","10"
"5","420","Esteban ARCILA ACEVEDO","85 CC MINI","1:32.156","15","1","8","9"
"6","888","Maximiliano YEPES ZAMORANO","85 CC MINI","1:35.824","17","1","7","8"
"7","35","Juan Angel MORALES GALLEGO","85 CC MINI","1:37.399","19","1","6","7"
"8","280","Samuel Andres DELGADO RAMIREZ","85 CC MINI","1:51.379","21","1","5","6"
"9","413","Samuel Emilio CAMACHO PAEZ","85 CC MINI","1:32.778","23","1","9","0"
