"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","85 CC MINI","Bogotá D.C.","3","Yamaha","Xspeed Racing","","1:28.242","8","","10:27.476"
"2","139","Valentino ZULETA CARDONA","85 CC MINI","Antioquia","2","KTM","CLUB ANTIOQUIA 2 RUEDAS RACER","16.401","1:30.269","8","","10:43.877"
"3","120","Matias GOMEZ ORJUELA","85 CC MINI","Bogotá D.C.","1","KTM","Todo terreno track","23.853","1:30.691","8","","10:51.329"
"4","626","Juan Antonio PIEDRAHITA VARELA","85 CC MINI","Risaralda","1","Husqvarna","CLUB LOS GUEPARDOS","28.813","1:30.679","8","","10:56.289"
"5","413","Samuel Emilio CAMACHO PAEZ","85 CC MINI","Bogotá D.C.","1","GasGas","Xspeed Racing","48.254","1:33.432","8","","11:15.730"
"6","420","Esteban ARCILA ACEVEDO","85 CC MINI","Risaralda","1","GasGas","CLUB LOS GUEPARDOS","1:05.446","1:32.520","8","","11:32.922"
"7","888","Maximiliano YEPES ZAMORANO","85 CC MINI","Antioquia","1","Yamaha","CLUB GRILLOS RACING","1:09.505","1:35.824","8","","11:36.981"
"8","35","Juan Angel MORALES GALLEGO","85 CC MINI","Antioquia","1","Yamaha","CLUB GRILLOS RACING","1 Vuelta","1:37.399","7","","11:56.734"
"9","280","Samuel Andres DELGADO RAMIREZ","85 CC MINI","Nariño","1","GasGas","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:53.064","7","","12:02.582"
