"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","141","Isabela VILLEGAS BRAND","Femenina A","1:35.855","2","3","15","13"
"2","555","Luciana MORENO SALCEDO","Femenina A","1:35.540","4","1","13","15"
"3","727","Alexandra NARVAEZ OLAYA","Femenina A","1:36.283","11","2","9","11"
"4","834","Valery Fernanda ARIAS ARCOS","Femenina A","1:44.174","12","1","10","10"
"5","828","Karol Melisa VARGAS CARVAJAL","Femenina A","1:39.098","12","1","11","9"
