"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","919","David CHACON GUZMAN","MX PRO","Bogotá D.C.","3","Honda","Todo terreno track","","1:19.317","8","","10:33.714"
"2","38","PABLO MOGOLLON","MX PRO","Antioquia","2","YAMAHA","","2.446","1:18.662","8","","10:36.160"
"3","170","Juan Jose HOYOS VELEZ","MX PRO","Risaralda","1","KTM","CLUB ENDUROCROSS","47.017","1:20.567","8","","11:20.731"
"4","211","Yeison Alexander QUIÑONES RICO","MX PRO","Santander","1","Honda","CLUB DEPORTIVO SANTANDER MAX EXTREMO","4 Vueltas","1:32.609","4","","10:50.644"
