"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","Antioquia","15","LGP Mobility","CLUB MOTOCROSS YARUMAL","","1:28.232","11","","18:06.429"
"2","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","Nariño","13","Yamaha","CLUB DEPORTIVO BUFALO XTREM","1:47.631","1:37.265","11","","19:54.060"
"3","821","John Fredy Hernández Osorio","MX PRE-EXPERTOS","CALDAS","11","YAMAHA","","1 Vuelta","1:36.246","10","","18:12.481"
"4","4","Mauricio Alexander URBANO QUINTAZ","MX PRE-EXPERTOS","Putumayo","10","Husqvarna","CLUB DEPORTIVO TEAM BASVI","1 Vuelta","1:40.794","10","","18:49.074"
"5","612","Alejandro DIAZ GARCIA","MX PRE-EXPERTOS","Valle del Cauca","9","Yamaha","Carasucias","1 Vuelta","1:41.354","10","","18:52.671"
