"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","Quindío","15","Yamaha","CLUB RUTEROS DEL QUINDIO","","1:24.662","17","","24:03.435"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx 2","Putumayo","13","KTM","TEAM RACING MOCOA","28.080","1:24.969","17","","24:31.515"
"3","71","JERONIMO ROMAN VELASQUEZ","Mx 2","Antioquia","11","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:30.832","16","","25:13.151"
"4","710","Juan David MENDOZA DUARTE","Mx 2","Meta","10","Yamaha","VILLAVICENCIO RACING CLUB","1 Vuelta","1:32.526","16","","25:16.549"
"5","211","Yeison Alexander QUIÑONES RICO","Mx 2","Santander","9","Honda","CLUB DEPORTIVO SANTANDER MAX EXTREMO","2 Vueltas","1:33.571","15","","24:52.642"
"6","107","Miguel Angel FLOREZ VALENCIA","Mx 2","Antioquia","8","Honda","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","1:38.505","15","","24:58.004"
