"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","85 CC JUNIOR","Bogotá D.C.","3","Yamaha","Xspeed Racing","","1:26.526","7","","10:03.839"
"2","222","Maximiliano RAMIREZ RESTREPO","85 CC JUNIOR","Antioquia","2","Yamaha","STUNT FIVE","2.419","1:26.958","7","","10:06.258"
"3","139","Valentino ZULETA CARDONA","85 CC JUNIOR","Antioquia","1","KTM","CLUB ANTIOQUIA 2 RUEDAS RACER","32.116","1:30.581","7","","10:35.955"
"4","626","Juan Antonio PIEDRAHITA VARELA","85 CC JUNIOR","Risaralda","1","Husqvarna","CLUB LOS GUEPARDOS","35.695","1:31.564","7","","10:39.534"
"5","120","Matias GOMEZ ORJUELA","85 CC JUNIOR","Bogotá D.C.","1","KTM","Todo terreno track","47.036","1:33.348","7","","10:50.875"
"6","413","Samuel Emilio CAMACHO PAEZ","85 CC JUNIOR","Bogotá D.C.","1","GasGas","Xspeed Racing","47.712","1:33.853","7","","10:51.551"
"7","420","Esteban ARCILA ACEVEDO","85 CC JUNIOR","Risaralda","1","GasGas","CLUB LOS GUEPARDOS","53.504","1:34.504","7","","10:57.343"
"8","762","Oscar Alejandro VALBUENA ECHEVERRI","85 CC JUNIOR","Antioquia","1","Yamaha","CLUB DE MOTOCICLISMO STUNT FIVE","2 Vueltas","1:58.512","5","","11:39.058"
