"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","132","Uberney VALENCIA MARTINEZ","15","Valle del Cauca","Carasucias","KTM","10","Master","1:15.169","2","","",""
"2","251","Eder Danny TAPIERO LOPEZ","13","Valle del Cauca","MOTOCLUB TRAVESURAS","KTM","10","Master","1:16.346","2","29.379","29.379",""
"3","222","Albeiro Aldemar Alvear Ortega","11","Valle del Cauca","Carasucias","KTM","10","Master","1:16.825","2","1:02.384","33.005",""
"4","202","Ivan Dario BENAVIDES FAJARDO","10","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","9","Master","1:18.796","2","1 Vuelta","1 Vuelta",""
"5","227","CARLOS ALBERTO LUCERO","9","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","9","Master","1:16.746","2","1 Vuelta","14.398",""
"6","188","Edison Gonzales Botero","8","Tolima","CLUB PISTON RACING","KTM","9","Master","1:25.420","4","1 Vuelta","6.123",""
"NT","216","Carlos Mario HERNANDEZ RAMIREZ","0","Quindío","CLUB MONSTER GARAGE","Honda","","200 Novatos","","0","NT","",""
