"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","141","Isabela VILLEGAS BRAND","15","Valle del Cauca","Team Potenza","Yamaha","10","Femenina","1:16.842","2","","",""
"2","20","Salome HERNANDEZ AGUILAR","13","Caldas","CLUB DE MOTOCICLISMO LA DORADA","KTM","10","Femenina","1:17.602","5","12.376","12.376",""
"3","116","Ivanna ZULETA HOYOS","11","Antioquia","CLUB MOTOCROSS DE YARUMAL","Husqvarna","10","Femenina","1:16.666","5","32.070","19.694",""
"4","834","Valery Fernanda ARIAS ARCOS","10","Cauca","CLUB CORONA CLUB XTREME PARK","KTM","10","Femenina","1:17.794","5","46.804","14.734",""
"5","219","Aisha CASTRO","9","Tolima","GR 522 RACING","KTM","10","Femenina","1:20.077","3","49.426","2.622",""
"6","212","Salome MENDEZ SAMBONI","8","Cauca","CLUB CORONA CLUB XTREME PARK","GasGas","10","Femenina","1:22.516","7","1:14.738","25.312",""
"7","516","Laura Sofia BALCAZAR","7","Meta","VILLAVICENCIO RACING CLUB","Yamaha","9","Femenina","1:26.330","4","1 Vuelta","1 Vuelta",""
"8","912","Laura Camila Bernal Cano","6","Quindío","CLUB DISCOVER QUINDIO","Yamaha","9","Femenina","1:27.134","4","1 Vuelta","23.797",""
