"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","255","Juan Jose LEYTON ERASO","15","Risaralda","CLUB LOS GUEPARDOS","KTM","8","Infantil mini","1:19.259","4","","",""
"2","319","Samuel BELTRÁN PRIETO","13","Tolima","GR 522 RACING","KTM","8","Infantil mini","1:20.633","8","15.515","15.515",""
"3","206","Juan Martin HOYOS VASQUEZ","11","Antioquia","STUNT FIVE","Yamaha","8","Infantil mini","1:17.188","8","25.315","9.800",""
"4","221","Jeronimo CASTILLO JIMENEZ","10","Bogotá D.C.","Xspeed Racing","KTM","8","Infantil mini","1:22.109","1","31.838","6.523",""
"5","717","Mariana ARISMEDI TRUJILLO","9","Bogotá D.C.","Todo terreno track","Cobra","8","Infantil mini","1:23.642","5","34.354","2.516",""
"6","101","Martín Silva OROZCO","8","Caldas","CLUB DE MOTOCICLISMO JP36","Honda","8","Infantil mini","1:20.725","1","44.309","9.955",""
"7","10","Isaak Dominic CAICEDO CALLE","7","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","8","Infantil mini","1:25.796","1","1:33.453","49.144",""
"8","33","Jorge Mario OCAMPO MEJIA","6","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Cobra","7","Infantil mini","1:25.543","1","1 Vuelta","1 Vuelta",""
"9","133","Valery DIAZ VELASQUEZ","5","Bogotá D.C.","Todo terreno track","Cobra","7","Infantil mini","1:36.269","4","1 Vuelta","1:17.904",""
"10","157","Agustín ARAGÓN JIMENEZ","4","Quindío","CLUB DISCOVER QUINDIO","Husqvarna","6","Infantil mini","1:41.043","3","2 Vueltas","1 Vuelta",""
"11","499","Jared PEREZ CASTILLO","3","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","6","Infantil mini","1:39.244","6","2 Vueltas","14.528",""
"12","E-209","Jeronimo alvarez durango","2","Valle del Cauca","Club VALLE","GasGas","6","Infantil mini","1:43.373","6","2 Vueltas","19.183",""
"13","927","Emiliano MENDEZ CANO","1","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","6","Infantil mini","1:46.728","6","2 Vueltas","21.745",""
"NT","11","Mathias OTALVARO MARULANDA","0","Quindío","CLUB DISCOVER QUINDIO","Yamaha","","Infantil mini","","0","NT","",""
"NT","312","Santiago Sánchez Jiménez","0","Valle del Cauca","Carasucias","GasGas","","Infantil mini","","0","NT","",""
