"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","14","125 cc","1:05.019","3","","",""
"2","228","Jeronimo DAMELINES LOAIZA","13","Risaralda","CLUB LOS GUEPARDOS","Yamaha","14","125 cc","1:07.527","2","38.860","38.860",""
"3","722","Alan HERNANDEZ RABE","11","Valle del Cauca","Carasucias","Sherco","13","125 cc","1:11.765","2","1 Vuelta","1 Vuelta",""
"4","199","Nicolas Felipe REY REY","10","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","13","125 cc","1:10.833","3","1 Vuelta","1.359",""
"5","710","Juan David MENDOZA DUARTE","9","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","13","125 cc","1:11.642","4","1 Vuelta","21.692",""
"6","630","Samuel Andres PINTO DUARTE","8","Meta","VILLAVICENCIO RACING CLUB","Yamaha","13","125 cc","1:11.906","4","1 Vuelta","18.259",""
"7","130","Santiago GUTIERREZ CASTILLO","7","Bogotá D.C.","Todo terreno track","GasGas","13","125 cc","1:14.727","4","1 Vuelta","11.227",""
"8","411","Juan Sebastian GIRON CARVAJAL","6","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","13","125 cc","1:17.837","2","1 Vuelta","22.821",""
"9","715","Joan esteban Valdez Osorio","5","Quindío","CLUB RUTEROS DEL QUINDIO","KTM","13","125 cc","1:15.915","3","1 Vuelta","1.329",""
"10","244","Alejandro ANGEL ISAZA","4","Valle del Cauca","Carasucias","Yamaha","12","125 cc","1:14.467","7","2 Vueltas","1 Vuelta",""
"11","612","Alejandro DIAZ GARCIA","3","Valle del Cauca","Carasucias","Yamaha","12","125 cc","1:18.767","3","2 Vueltas","6.212",""
"12","146","Gabriel Alejandro MESA ARROYO","2","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","12","125 cc","1:20.905","3","2 Vueltas","23.260",""
"NT","113","Tomas VERGARA ARANZAZU","0","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","2","125 CC","1:22.664","2","NT","",""
"NT","926","Santiago LEON","0","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","","125 cc","","0","NT","",""
