"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","132","Uberney VALENCIA MARTINEZ","15","Valle del Cauca","Carasucias","KTM","10","Master","1:17.203","4","","",""
"2","251","Eder Danny TAPIERO LOPEZ","13","Valle del Cauca","MOTOCLUB TRAVESURAS","KTM","10","Master","1:17.331","10","0.695","0.695",""
"3","222","Albeiro Aldemar Alvear Ortega","11","Valle del Cauca","Carasucias","KTM","10","Master","1:16.800","10","1.761","1.066",""
"4","227","CARLOS ALBERTO LUCERO","10","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","10","Master","1:23.008","3","1:04.932","1:03.171",""
"5","202","Ivan Dario BENAVIDES FAJARDO","9","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","10","Master","1:24.275","3","1:06.539","1.607",""
"6","188","Edison Gonzales Botero","8","Tolima","CLUB PISTON RACING","KTM","9","Master","1:28.634","3","1 Vuelta","1 Vuelta",""
"NT","216","Carlos Mario HERNANDEZ RAMIREZ","0","Quindío","CLUB MONSTER GARAGE","Honda","","200 Novatos","","0","NT","",""
