"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","108","Juan José López","15","Caldas","CLUB VILLAMARIA RACING CLUB","Honda","10","200 Novatos","1:14.663","3","","",""
"2","88","Edison SAntiago GONZALEZ VELOZA","13","Tolima","CLUB PISTON RACING","Honda","10","200 Novatos","1:14.853","1","7.122","7.122",""
"3","91","Sergio Martinez Aguirre","11","Caldas","CLUB VILLAMARIA RACING CLUB","Honda","10","200 Novatos","1:14.828","1","10.790","3.668",""
"4","81","Santiago Garcés Jiménez","10","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","10","200 Novatos","1:19.144","3","47.453","36.663",""
"5","92","Nelson Osorio","9","Valle del Cauca","Carasucias","Yamaha","10","200 Novatos","1:21.235","7","1:04.006","16.553",""
"6","26","Rene Alberto ACOSTA CRIOLLO","8","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","10","200 Novatos","1:20.378","1","1:10.863","6.857",""
"7","172","Brian Stiven ALVAREZ GRISALES","7","Tolima","CLUB PISTON RACING","Honda","8","200 Novatos","1:19.602","7","2 Vueltas","2 Vueltas",""
"8","24","Esteban CARDENAS RUIZ","6","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","7","200 Novatos","1:25.241","2","3 Vueltas","1 Vuelta",""
"","112","Jonathan Echeverry Toro","0","Caldas","CLUB VILLAMARIA RACING CLUB","Yamaha","3","200 Novatos","1:30.728","2","7 Vueltas","4 Vueltas",""
"NT","217","Hector Fabio Restrepo","0","Valle del Cauca","Carasucias","Yamaha","2","200 Novatos","1:19.310","1","NT","",""
