"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","88","Edison SAntiago GONZALEZ VELOZA","15","Tolima","CLUB PISTON RACING","KTM","10","Libre novatos","1:11.485","3","","",""
"2","444","Faber Andrés giraldo","13","Valle del Cauca","Carasucias","KTM","10","Libre novatos","1:10.877","2","5.355","5.355",""
"3","81","Santiago Garcés Jiménez","11","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","10","Libre novatos","1:12.468","9","7.563","2.208",""
"4","E-821","John Fredy Hernández Osorio","10","Caldas","CLUB VILLAMARIA RACING CLUB","Yamaha","10","Libre novatos","1:13.191","2","16.422","8.859",""
"5","217","Hector Fabio Restrepo","9","Valle del Cauca","Carasucias","KTM","10","Libre novatos","1:10.243","3","19.725","3.303",""
"6","172","Brian Stiven ALVAREZ GRISALES","8","Tolima","CLUB PISTON RACING","Honda","10","Libre novatos","1:13.062","2","52.081","32.356",""
"7","108","Juan José López","7","Caldas","CLUB VILLAMARIA RACING CLUB","Honda","10","Libre novatos","1:11.800","2","1:03.302","11.221",""
"8","92","Nelson Osorio","6","Valle del Cauca","Carasucias","KTM","10","Libre novatos","1:17.668","4","1:09.282","5.980",""
"NT","222","Albeiro Aldemar Alvear Ortega","0","Valle del Cauca","Carasucias","KTM","7","Libre novatos","1:14.483","3","NT","",""
