"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","14","200 Expertos","1:10.012","5","","",""
"2","563","Jhon Jader Valero Palencia","13","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","14","200 Expertos","1:10.577","3","1:05.421","1:05.421",""
"3","229","Rubén Dario peña hoyos","11","Valle del Cauca","Carasucias","Yamaha","13","200 Expertos","1:16.094","2","1 Vuelta","1 Vuelta",""
"4","132","Uberney VALENCIA MARTINEZ","10","Valle del Cauca","Carasucias","Yamaha","13","200 Expertos","1:15.969","2","1 Vuelta","7.109",""
"5","722","Alan HERNANDEZ RABE","9","Valle del Cauca","Carasucias","Honda","12","200 Expertos","1:20.844","2","2 Vueltas","1 Vuelta",""
"","926","Santiago LEON","0","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","2","200 Expertos","17:07.401","2","12 Vueltas","10 Vueltas",""
