"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","13","Libre pro","1:07.380","4","","",""
"2","228","Jeronimo DAMELINES LOAIZA","13","Risaralda","CLUB LOS GUEPARDOS","GasGas","13","Libre pro","1:09.748","2","33.943","33.943",""
"3","199","Nicolas Felipe REY REY","11","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","13","Libre pro","1:10.395","4","58.077","24.134",""
"4","563","Jhon Jader Valero Palencia","10","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","13","Libre pro","1:12.432","5","1:05.690","7.613",""
"5","937","Jose Miguel MAYOR BEDOYA","9","Valle del Cauca","Carasucias","KTM","12","Libre pro","1:12.274","4","1 Vuelta","1 Vuelta",""
"6","722","Alan HERNANDEZ RABE","8","Valle del Cauca","Carasucias","Sherco","12","Libre pro","1:15.299","10","1 Vuelta","16.882",""
"7","710","Juan David MENDOZA DUARTE","7","Meta","VILLAVICENCIO RACING CLUB","KTM","12","Libre pro","1:13.326","4","1 Vuelta","4.371",""
"8","814","Abel Eduardo CARABALI CARABALI","6","Valle del Cauca","Carasucias","Yamaha","12","Libre pro","1:12.395","3","1 Vuelta","2.159",""
"9","29","Jeronimo PIEDRAHITA HINCAPIE","5","Caldas","CLUB DE MOTOCICLISMO JP36","Honda","12","Libre pro","1:15.886","4","1 Vuelta","13.906",""
"10","627","Leonel giraldo jaramillo","4","Tolima","GR 522 RACING","Yamaha","12","Libre pro","1:15.677","1","1 Vuelta","18.886",""
"11","411","Juan Sebastian GIRON CARVAJAL","3","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","12","Libre pro","1:16.805","7","1 Vuelta","1.985",""
"12","811","SEBASTIAN LOPEZ MONCAYO","2","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","12","Libre pro","1:17.065","3","1 Vuelta","27.536",""
"NT","229","Rubén Dario peña hoyos","0","Valle del Cauca","Carasucias","Yamaha","5","Libre pro","1:17.001","2","NT","",""
"NT","630","Samuel Andres PINTO DUARTE","0","Meta","VILLAVICENCIO RACING CLUB","Yamaha","","Libre pro","","0","NT","",""
